CustomerID,Recency,Frequency,Monetary,TotalQuantity,ProductDiversity,AvgOrderValue,Cluster,Segment
12452,17,2,430.57,185,21,215.285,1,Regular / Growth Potential
12453,134,1,707.09,473,43,707.09,2,At-Risk / Low-Engagement
12454,56,1,3528.34,1006,15,3528.34,1,Regular / Growth Potential
12455,73,6,2466.86,2089,85,411.1433333333334,1,Regular / Growth Potential
12456,44,3,3181.04,1633,105,1060.3466666666666,1,Regular / Growth Potential
12457,66,7,2363.23,843,53,337.6042857142857,1,Regular / Growth Potential
12458,71,2,947.4,506,35,473.7,1,Regular / Growth Potential
12461,94,2,826.88,287,35,413.44,1,Regular / Growth Potential
12462,19,2,1189.59,536,51,594.795,1,Regular / Growth Potential
12463,53,4,1344.78,776,65,336.195,1,Regular / Growth Potential
12464,10,8,1212.05,112,6,151.50625,0,High-Value / Champions
12465,17,2,742.1899999999999,479,46,371.09499999999997,1,Regular / Growth Potential
12468,188,2,729.5400000000001,366,36,364.77000000000004,2,At-Risk / Low-Engagement
12471,2,30,19788.65,8200,150,659.6216666666667,0,High-Value / Champions
12472,32,7,6572.11,4148,219,938.8728571428571,0,High-Value / Champions
12473,29,5,3928.0499999999997,2414,140,785.6099999999999,0,High-Value / Champions
12474,17,18,7324.09,4833,253,406.8938888888889,0,High-Value / Champions
12475,54,1,723.38,535,36,723.38,2,At-Risk / Low-Engagement
12476,16,11,6816.42,2408,177,619.6745454545454,0,High-Value / Champions
12477,23,6,13219.74,3653,191,2203.29,0,High-Value / Champions
12478,4,1,680.99,236,36,680.99,1,Regular / Growth Potential
12479,11,1,527.2,385,31,527.2,1,Regular / Growth Potential
12480,28,4,3281.63,1707,129,820.4075,1,Regular / Growth Potential
12481,23,10,5579.82,3294,150,557.982,0,High-Value / Champions
12483,17,8,2484.98,1110,46,310.6225,0,High-Value / Champions
12484,33,6,4527.32,2187,256,754.5533333333333,0,High-Value / Champions
12488,10,3,1298.66,529,46,432.8866666666667,1,Regular / Growth Potential
12489,336,1,334.93,105,15,334.93,2,At-Risk / Low-Engagement
12490,5,10,5417.93,3064,131,541.793,0,High-Value / Champions
12491,39,1,460.40000000000003,260,25,460.40000000000003,2,At-Risk / Low-Engagement
12492,63,2,263.21000000000004,192,19,131.60500000000002,2,At-Risk / Low-Engagement
12493,166,2,433.74,207,20,216.87,2,At-Risk / Low-Engagement
12494,16,7,1246.1000000000001,707,63,178.01428571428573,0,High-Value / Champions
12497,82,1,1043.1,1236,14,1043.1,2,At-Risk / Low-Engagement
12498,21,3,403.70000000000005,159,21,134.5666666666667,1,Regular / Growth Potential
12500,23,11,4257.82,2678,34,387.07454545454544,0,High-Value / Champions
12501,337,1,2169.39,1783,149,2169.39,2,At-Risk / Low-Engagement
12502,96,5,3723.87,820,102,744.774,1,Regular / Growth Potential
12504,18,2,482.04999999999995,90,6,241.02499999999998,1,Regular / Growth Potential
12506,233,1,73.5,23,23,73.5,2,At-Risk / Low-Engagement
12507,134,3,1304.81,894,19,434.93666666666667,1,Regular / Growth Potential
12508,26,2,397.88,271,57,198.94,1,Regular / Growth Potential
12509,284,1,176.5,55,7,176.5,2,At-Risk / Low-Engagement
12510,143,2,982.5699999999999,353,29,491.28499999999997,2,At-Risk / Low-Engagement
12512,66,2,132.18,96,31,66.09,2,At-Risk / Low-Engagement
12513,113,1,612.29,462,35,612.29,2,At-Risk / Low-Engagement
12514,267,1,1017.68,440,51,1017.68,2,At-Risk / Low-Engagement
12515,353,1,383.7,131,16,383.7,2,At-Risk / Low-Engagement
12516,78,2,1312.06,875,20,656.03,1,Regular / Growth Potential
12517,28,5,2481.6,1361,232,496.32,1,Regular / Growth Potential
12518,1,5,2056.89,1318,84,411.378,0,High-Value / Champions
12519,64,1,330.84,175,17,330.84,2,At-Risk / Low-Engagement
12520,79,5,2634.26,1439,121,526.8520000000001,1,Regular / Growth Potential
12521,143,1,599.68,309,38,599.68,2,At-Risk / Low-Engagement
12522,39,2,192.72,194,11,96.36,2,At-Risk / Low-Engagement
12523,19,11,1789.77,865,84,162.70636363636365,0,High-Value / Champions
12524,9,8,4485.72,3699,113,560.715,0,High-Value / Champions
12526,1,3,1316.66,632,64,438.8866666666667,1,Regular / Growth Potential
12527,82,3,348.71000000000004,234,18,116.23666666666668,2,At-Risk / Low-Engagement
12528,9,6,1933.48,756,50,322.24666666666667,0,High-Value / Champions
12530,60,4,1662.28,913,51,415.57,1,Regular / Growth Potential
12531,15,1,125.22,45,17,125.22,2,At-Risk / Low-Engagement
12532,30,1,349.83000000000004,153,16,349.83000000000004,2,At-Risk / Low-Engagement
12534,131,1,1089.18,651,63,1089.18,2,At-Risk / Low-Engagement
12535,92,2,716.35,219,28,358.175,2,At-Risk / Low-Engagement
12536,43,3,12601.830000000002,2803,260,4200.610000000001,0,High-Value / Champions
12538,29,1,363.95,191,21,363.95,2,At-Risk / Low-Engagement
12539,22,4,5568.35,2067,157,1392.0875,0,High-Value / Champions
12540,20,17,13400.24,6685,277,788.2494117647059,0,High-Value / Champions
12541,30,3,981.18,680,46,327.06,1,Regular / Growth Potential
12544,36,1,372.7,136,19,372.7,2,At-Risk / Low-Engagement
12545,75,2,1000.39,523,42,500.195,1,Regular / Growth Potential
12546,47,2,1161.5,633,59,580.75,1,Regular / Growth Potential
12547,198,2,207.79999999999998,134,7,103.89999999999999,2,At-Risk / Low-Engagement
12548,166,1,95.19999999999999,49,5,95.19999999999999,2,At-Risk / Low-Engagement
12550,79,1,964.83,569,57,964.83,2,At-Risk / Low-Engagement
12551,358,1,168.0,100,10,168.0,2,At-Risk / Low-Engagement
12552,39,2,437.82,88,20,218.91,1,Regular / Growth Potential
12553,8,10,3692.28,1965,95,369.228,0,High-Value / Champions
12556,50,2,599.56,355,100,299.78,1,Regular / Growth Potential
12557,16,5,11990.960000000001,4384,15,2398.192,0,High-Value / Champions
12558,8,1,269.96,196,11,269.96,1,Regular / Growth Potential
12559,311,2,561.71,283,21,280.855,2,At-Risk / Low-Engagement
12560,5,3,2134.01,1110,91,711.3366666666667,1,Regular / Growth Potential
12561,303,1,238.85,177,16,238.85,2,At-Risk / Low-Engagement
12562,8,7,3781.7400000000002,1779,99,540.2485714285715,0,High-Value / Champions
12564,261,1,456.9,133,21,456.9,2,At-Risk / Low-Engagement
12565,289,1,145.92,80,9,145.92,2,At-Risk / Low-Engagement
12566,86,1,351.65,265,19,351.65,2,At-Risk / Low-Engagement
12567,23,10,9401.28,4305,323,940.128,0,High-Value / Champions
12569,2,32,4124.69,1801,92,128.8965625,0,High-Value / Champions
12571,40,2,519.61,523,31,259.805,1,Regular / Growth Potential
12572,9,2,1020.42,452,53,510.21,1,Regular / Growth Potential
12573,227,1,160.54000000000002,84,26,160.54000000000002,2,At-Risk / Low-Engagement
12574,316,1,218.45,61,11,218.45,2,At-Risk / Low-Engagement
12576,36,5,1315.83,967,72,263.166,1,Regular / Growth Potential
12577,35,3,626.6,469,137,208.86666666666667,1,Regular / Growth Potential
12578,21,2,2794.51,1196,111,1397.255,1,Regular / Growth Potential
12579,78,1,440.42,285,29,440.42,2,At-Risk / Low-Engagement
12580,247,1,415.7,238,24,415.7,2,At-Risk / Low-Engagement
12581,40,1,197.71,161,15,197.71,2,At-Risk / Low-Engagement
12582,239,2,511.36,300,21,255.68,2,At-Risk / Low-Engagement
12583,3,15,7281.38,5060,115,485.42533333333336,0,High-Value / Champions
12584,4,9,2338.15,416,44,259.7944444444445,0,High-Value / Champions
12585,234,2,2040.1,1279,77,1020.05,1,Regular / Growth Potential
12586,17,1,196.94000000000003,79,11,196.94000000000003,2,At-Risk / Low-Engagement
12587,8,1,144.0,51,4,144.0,1,Regular / Growth Potential
12588,39,1,214.89999999999998,53,10,214.89999999999998,2,At-Risk / Low-Engagement
12589,29,2,646.68,306,29,323.34,1,Regular / Growth Potential
12590,211,2,9864.26,4283,68,4932.13,1,Regular / Growth Potential
12591,317,1,452.84999999999997,228,26,452.84999999999997,2,At-Risk / Low-Engagement
12592,92,2,437.6,290,11,218.8,2,At-Risk / Low-Engagement
12593,109,3,418.09999999999997,206,14,139.36666666666665,2,At-Risk / Low-Engagement
12594,38,10,3338.2200000000003,1777,50,333.822,0,High-Value / Champions
12596,51,2,618.27,474,25,309.135,1,Regular / Growth Potential
12597,19,4,3811.22,2236,184,952.805,1,Regular / Growth Potential
12598,10,8,3023.08,1964,84,377.885,0,High-Value / Champions
12599,29,7,1032.58,956,32,147.51142857142855,1,Regular / Growth Potential
12600,29,10,2599.04,774,32,259.904,0,High-Value / Champions
12601,190,5,577.0600000000001,245,21,115.412,1,Regular / Growth Potential
12602,59,1,153.12,162,12,153.12,2,At-Risk / Low-Engagement
12603,22,1,739.1999999999999,63,2,739.1999999999999,1,Regular / Growth Potential
12604,79,2,254.18,201,15,127.09,2,At-Risk / Low-Engagement
12607,60,1,1579.51,1228,101,1579.51,1,Regular / Growth Potential
12609,78,3,1126.85,648,57,375.6166666666666,1,Regular / Growth Potential
12610,23,5,2099.54,1049,85,419.908,1,Regular / Growth Potential
12611,52,1,1193.32,846,65,1193.32,1,Regular / Growth Potential
12612,74,1,704.0400000000001,262,19,704.0400000000001,2,At-Risk / Low-Engagement
12613,57,5,3344.38,1644,124,668.876,1,Regular / Growth Potential
12614,278,1,315.6,76,20,315.6,2,At-Risk / Low-Engagement
12615,2,4,2291.19,1376,82,572.7975,0,High-Value / Champions
12616,95,2,713.3,284,25,356.65,2,At-Risk / Low-Engagement
12617,29,1,352.98,210,39,352.98,2,At-Risk / Low-Engagement
12618,22,1,177.31,96,11,177.31,2,At-Risk / Low-Engagement
12619,16,9,3641.24,3378,50,404.5822222222222,0,High-Value / Champions
12620,15,3,1339.41,1181,89,446.47,1,Regular / Growth Potential
12621,2,20,13689.67,7440,261,684.4835,0,High-Value / Champions
12622,232,1,180.1,69,11,180.1,2,At-Risk / Low-Engagement
12623,276,1,305.1,191,18,305.1,2,At-Risk / Low-Engagement
12624,106,2,641.13,355,36,320.565,2,At-Risk / Low-Engagement
12625,212,2,2683.82,1612,73,1341.91,1,Regular / Growth Potential
12626,23,9,6620.48,3453,232,735.6088888888888,0,High-Value / Champions
12627,11,7,4478.53,2752,162,639.79,0,High-Value / Champions
12628,4,3,786.46,448,34,262.15333333333336,1,Regular / Growth Potential
12630,10,2,1270.88,548,60,635.44,1,Regular / Growth Potential
12631,57,1,640.5,236,31,640.5,2,At-Risk / Low-Engagement
12633,59,4,2163.98,1162,73,540.995,1,Regular / Growth Potential
12635,90,2,1689.18,1172,96,844.59,1,Regular / Growth Potential
12637,67,8,6002.9,2994,205,750.3625,0,High-Value / Champions
12638,33,1,671.69,577,39,671.69,1,Regular / Growth Potential
12639,239,1,486.1,201,22,486.1,2,At-Risk / Low-Engagement
12640,24,3,1174.58,311,47,391.52666666666664,1,Regular / Growth Potential
12641,115,1,185.9,72,10,185.9,2,At-Risk / Low-Engagement
12642,25,3,1013.26,552,39,337.75333333333333,1,Regular / Growth Potential
12643,128,6,3344.64,1808,11,557.4399999999999,1,Regular / Growth Potential
12644,130,1,477.91,325,31,477.91,2,At-Risk / Low-Engagement
12645,34,4,1775.18,1084,58,443.795,1,Regular / Growth Potential
12646,5,2,1346.97,897,43,673.485,1,Regular / Growth Potential
12647,22,12,3722.82,1431,78,310.235,0,High-Value / Champions
12648,155,1,318.05,160,21,318.05,2,At-Risk / Low-Engagement
12649,107,3,623.51,586,28,207.83666666666667,1,Regular / Growth Potential
12650,3,1,314.44,254,20,314.44,1,Regular / Growth Potential
12651,335,1,114.0,78,9,114.0,2,At-Risk / Low-Engagement
12652,331,1,919.98,505,48,919.98,2,At-Risk / Low-Engagement
12653,149,2,2209.85,919,37,1104.925,1,Regular / Growth Potential
12654,11,5,601.98,264,31,120.396,1,Regular / Growth Potential
12656,17,5,4051.17,1723,89,810.234,0,High-Value / Champions
12657,11,4,1643.18,1044,35,410.795,1,Regular / Growth Potential
12658,19,1,686.05,320,36,686.05,1,Regular / Growth Potential
12659,30,1,91.68,105,5,91.68,2,At-Risk / Low-Engagement
12660,11,1,245.1,127,13,245.1,1,Regular / Growth Potential
12662,1,11,3849.78,2058,129,349.98,0,High-Value / Champions
12664,8,9,4881.88,1203,10,542.4311111111111,0,High-Value / Champions
12665,325,1,63.0,37,3,63.0,2,At-Risk / Low-Engagement
12667,58,1,620.13,395,33,620.13,2,At-Risk / Low-Engagement
12668,12,4,3807.15,1634,115,951.7875,0,High-Value / Champions
12669,151,3,2744.0299999999997,1115,98,914.6766666666666,1,Regular / Growth Potential
12670,10,5,2996.05,1397,58,599.21,0,High-Value / Champions
12672,330,1,225.89999999999998,78,10,225.89999999999998,2,At-Risk / Low-Engagement
12673,5,2,610.52,351,42,305.26,1,Regular / Growth Potential
12674,39,4,1970.6,1133,52,492.65,1,Regular / Growth Potential
12676,25,6,1331.39,670,33,221.89833333333334,1,Regular / Growth Potential
12678,42,12,17628.46,10923,105,1469.0383333333332,0,High-Value / Champions
12679,59,4,1113.02,554,43,278.255,1,Regular / Growth Potential
12680,1,4,862.81,443,33,215.7025,1,Regular / Growth Potential
12681,15,22,13787.54,7536,267,626.7063636363637,0,High-Value / Champions
12682,4,31,12279.82,5555,209,396.1232258064516,0,High-Value / Champions
12683,4,15,8476.57,4987,177,565.1046666666666,0,High-Value / Champions
12684,8,7,2283.63,1985,61,326.23285714285714,0,High-Value / Champions
12685,28,6,2863.08,1523,117,477.18,0,High-Value / Champions
12686,372,1,89.14,107,7,89.14,2,At-Risk / Low-Engagement
12688,114,1,4873.8099999999995,3028,171,4873.8099999999995,1,Regular / Growth Potential
12689,26,2,1247.61,628,57,623.805,1,Regular / Growth Potential
12690,206,1,389.01,106,16,389.01,2,At-Risk / Low-Engagement
12691,28,6,1035.8,394,21,172.63333333333333,1,Regular / Growth Potential
12693,127,4,855.91,255,35,213.9775,1,Regular / Growth Potential
12694,70,2,869.67,509,32,434.835,1,Regular / Growth Potential
12695,7,4,582.1,220,23,145.525,1,Regular / Growth Potential
12697,29,3,957.59,508,37,319.19666666666666,1,Regular / Growth Potential
12700,8,4,4939.99,2967,193,1234.9975,0,High-Value / Champions
12701,80,2,797.71,678,50,398.855,1,Regular / Growth Potential
12702,20,1,219.0,53,12,219.0,2,At-Risk / Low-Engagement
12703,71,1,283.55,164,21,283.55,2,At-Risk / Low-Engagement
12704,7,8,2340.84,1006,64,292.605,0,High-Value / Champions
12705,15,9,6868.29,3997,228,763.1433333333333,0,High-Value / Champions
12707,292,1,603.42,256,33,603.42,2,At-Risk / Low-Engagement
12708,30,10,2712.91,1307,86,271.291,0,High-Value / Champions
12709,15,15,9706.52,3912,93,647.1013333333334,0,High-Value / Champions
12710,97,3,1149.02,851,75,383.00666666666666,1,Regular / Growth Potential
12712,29,13,4396.13,1062,58,338.1638461538462,0,High-Value / Champions
12713,1,1,848.55,508,38,848.55,1,Regular / Growth Potential
12714,9,5,4708.86,3069,216,941.7719999999999,0,High-Value / Champions
12715,106,1,343.36,192,20,343.36,2,At-Risk / Low-Engagement
12716,4,2,1053.49,708,60,526.745,1,Regular / Growth Potential
12717,151,2,1030.98,506,49,515.49,2,At-Risk / Low-Engagement
12718,71,1,238.25,203,19,238.25,2,At-Risk / Low-Engagement
12719,5,2,644.95,374,34,322.475,1,Regular / Growth Potential
12720,3,25,5781.73,4672,211,231.26919999999998,0,High-Value / Champions
12721,32,6,2656.13,1959,133,442.68833333333333,0,High-Value / Champions
12722,85,4,997.63,566,50,249.4075,1,Regular / Growth Potential
12723,4,5,725.07,434,53,145.014,1,Regular / Growth Potential
12724,5,4,1031.41,445,47,257.8525,1,Regular / Growth Potential
12725,371,1,427.8,164,24,427.8,2,At-Risk / Low-Engagement
12726,28,7,2609.1,3143,57,372.7285714285714,0,High-Value / Champions
12727,11,7,3980.7,2098,109,568.6714285714286,0,High-Value / Champions
12728,71,4,836.33,419,38,209.0825,1,Regular / Growth Potential
12729,114,1,453.01,233,26,453.01,2,At-Risk / Low-Engagement
12731,24,12,18895.91,8437,109,1574.6591666666666,0,High-Value / Champions
12732,180,1,236.26000000000002,111,12,236.26000000000002,2,At-Risk / Low-Engagement
12733,234,1,383.95,137,22,383.95,2,At-Risk / Low-Engagement
12734,353,1,110.39999999999999,88,4,110.39999999999999,2,At-Risk / Low-Engagement
12735,315,2,779.5699999999999,368,38,389.78499999999997,2,At-Risk / Low-Engagement
12736,333,1,234.0,173,4,234.0,2,At-Risk / Low-Engagement
12738,372,1,155.35,148,11,155.35,2,At-Risk / Low-Engagement
12739,78,2,1013.04,486,38,506.52,1,Regular / Growth Potential
12740,64,1,427.6,342,27,427.6,2,At-Risk / Low-Engagement
12743,134,2,540.13,315,114,270.065,2,At-Risk / Low-Engagement
12744,52,7,21279.29,5241,178,3039.8985714285714,0,High-Value / Champions
12747,2,11,4196.01,1275,42,381.4554545454546,0,High-Value / Champions
12748,1,209,33053.19,25287,1768,158.14923444976077,0,High-Value / Champions
12749,4,5,4090.88,1471,160,818.176,0,High-Value / Champions
12750,129,1,275.88,137,15,275.88,2,At-Risk / Low-Engagement
12752,81,1,4366.78,2262,53,4366.78,1,Regular / Growth Potential
12753,23,6,21429.39,11421,132,3571.565,0,High-Value / Champions
12754,236,3,3010.74,6481,49,1003.5799999999999,1,Regular / Growth Potential
12755,281,2,3811.95,1491,4,1905.975,1,Regular / Growth Potential
12756,87,1,112.07999999999998,144,4,112.07999999999998,2,At-Risk / Low-Engagement
12757,16,13,7834.650000000001,2395,237,602.6653846153847,0,High-Value / Champions
12758,117,2,2791.59,2135,84,1395.795,1,Regular / Growth Potential
12759,52,3,1531.44,902,81,510.48,1,Regular / Growth Potential
12762,8,2,1898.52,1227,62,949.26,1,Regular / Growth Potential
12763,138,2,494.08,316,16,247.04,2,At-Risk / Low-Engagement
12764,317,1,1693.88,386,45,1693.88,2,At-Risk / Low-Engagement
12766,4,7,6989.63,3646,205,998.5185714285715,0,High-Value / Champions
12769,239,1,1143.6,356,32,1143.6,2,At-Risk / Low-Engagement
12770,211,1,1351.45,743,12,1351.45,2,At-Risk / Low-Engagement
12772,60,1,892.47,556,55,892.47,2,At-Risk / Low-Engagement
12775,17,5,1386.04,877,47,277.20799999999997,1,Regular / Growth Potential
12778,20,6,822.23,825,40,137.03833333333333,1,Regular / Growth Potential
12779,38,8,3981.36,2024,88,497.67,0,High-Value / Champions
12781,64,2,826.74,671,25,413.37,1,Regular / Growth Potential
12782,5,5,2330.92,1086,81,466.184,0,High-Value / Champions
12783,2,6,2225.91,624,76,370.98499999999996,0,High-Value / Champions
12784,9,2,532.8199999999999,280,54,266.40999999999997,1,Regular / Growth Potential
12785,364,1,311.95,131,14,311.95,2,At-Risk / Low-Engagement
12787,10,3,463.66,261,17,154.55333333333334,1,Regular / Growth Potential
12789,65,1,91.85,4,4,91.85,2,At-Risk / Low-Engagement
12790,192,1,324.92,166,21,324.92,2,At-Risk / Low-Engagement
12791,374,1,192.60000000000002,97,2,192.60000000000002,2,At-Risk / Low-Engagement
12792,257,1,400.53999999999996,217,25,400.53999999999996,2,At-Risk / Low-Engagement
12793,335,2,545.48,295,21,272.74,2,At-Risk / Low-Engagement
12794,53,2,860.41,592,43,430.205,1,Regular / Growth Potential
12795,19,1,430.48,68,14,430.48,1,Regular / Growth Potential
12797,366,1,254.03,118,13,254.03,2,At-Risk / Low-Engagement
12798,10,3,6977.04,5256,6,2325.68,0,High-Value / Champions
12802,187,1,427.58,314,25,427.58,2,At-Risk / Low-Engagement
12808,37,3,483.65000000000003,188,27,161.21666666666667,1,Regular / Growth Potential
12809,178,1,489.31,220,25,489.31,2,At-Risk / Low-Engagement
12811,261,3,514.85,230,27,171.61666666666667,2,At-Risk / Low-Engagement
12812,45,1,229.64000000000001,164,15,229.64000000000001,2,At-Risk / Low-Engagement
12814,102,1,125.92,49,2,125.92,2,At-Risk / Low-Engagement
12815,148,2,1063.46,379,38,531.73,2,At-Risk / Low-Engagement
12816,96,2,572.2,128,27,286.1,2,At-Risk / Low-Engagement
12817,281,1,166.04,53,4,166.04,2,At-Risk / Low-Engagement
12818,262,1,1542.08,929,14,1542.08,2,At-Risk / Low-Engagement
12820,3,4,942.34,722,55,235.585,1,Regular / Growth Potential
12821,214,1,92.72,70,6,92.72,2,At-Risk / Low-Engagement
12822,71,2,948.88,550,41,474.44,1,Regular / Growth Potential
12823,75,5,1759.5,230,1,351.9,1,Regular / Growth Potential
12824,60,1,397.12,232,25,397.12,2,At-Risk / Low-Engagement
12826,3,7,1474.72,1058,58,210.67428571428573,0,High-Value / Champions
12827,6,3,430.15000000000003,197,19,143.38333333333335,1,Regular / Growth Potential
12828,3,6,1018.71,494,46,169.785,0,High-Value / Champions
12829,337,2,293.0,376,9,146.5,2,At-Risk / Low-Engagement
12830,38,6,6814.64,9848,13,1135.7733333333333,0,High-Value / Champions
12831,262,1,215.05,135,9,215.05,2,At-Risk / Low-Engagement
12832,32,2,383.03,195,27,191.515,1,Regular / Growth Potential
12833,145,1,417.38,156,24,417.38,2,At-Risk / Low-Engagement
12834,283,1,312.38,110,18,312.38,2,At-Risk / Low-Engagement
12836,59,4,2610.36,1062,148,652.59,1,Regular / Growth Potential
12837,173,1,134.1,24,12,134.1,2,At-Risk / Low-Engagement
12838,34,2,671.95,355,115,335.975,1,Regular / Growth Potential
12839,3,14,5591.42,3807,95,399.38714285714286,0,High-Value / Champions
12840,144,4,2726.77,1511,67,681.6925,1,Regular / Growth Potential
12841,5,25,3991.58,2720,229,159.6632,0,High-Value / Champions
12842,70,2,1118.99,547,34,559.495,1,Regular / Growth Potential
